age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,income_qcut,income_level,spending_qcut,spending_score_level,purchase_frequency_qcut,purchase_frequency_level,membership_years_qcut,membership_years_level,last_purchase_amount_qcut,last_purchase_amount_qcut_level,score_final,score_final_qcut,score_final_qcut_level
64,Other,33018,46.0,4.0,3.0,Sports,221.35,"(30003.999, 60038.5]",1,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,7,"(5.999, 11.0]",bronze
33,Male,112260,17.0,5.0,8.0,Home & Garden,915.89,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(0.999, 15.5]",1,"(3.0, 5.46]",2,"(736.37, 998.98]",4,11,"(5.999, 11.0]",bronze
53,Male,129284,17.0,6.0,26.0,Clothing,225.4,"(115854.0, 1329680.0]",4,"(0.999, 27.0]",1,"(15.5, 26.514]",2,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
57,Male,102535,29.0,5.0,13.0,Clothing,378.47,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(3.0, 5.46]",2,"(232.75, 492.32]",2,10,"(5.999, 11.0]",bronze
22,Male,41849,22.0,1.0,31.0,Sports,844.08,"(30003.999, 60038.5]",1,"(0.999, 27.0]",1,"(26.514, 38.0]",3,"(0.999, 3.0]",1,"(736.37, 998.98]",4,10,"(5.999, 11.0]",bronze
37,Male,95491,54.931650893796004,6.0,21.0,Home & Garden,454.83,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(5.46, 8.0]",3,"(232.75, 492.32]",2,12,"(11.0, 13.0]",prata
31,Unknown,97103,70.0,3.0,17.0,Groceries,492.3200423280423,"(92031.0, 115854.0]",3,"(54.932, 75.0]",3,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(232.75, 492.32]",2,11,"(5.999, 11.0]",bronze
19,Female,82519,13.0,4.0,4.0,Home & Garden,742.39,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(0.999, 15.5]",1,"(3.0, 5.46]",2,"(736.37, 998.98]",4,10,"(5.999, 11.0]",bronze
22,Male,49077,74.0,10.0,47.0,Home & Garden,799.31,"(30003.999, 60038.5]",1,"(54.932, 75.0]",3,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(736.37, 998.98]",4,16,"(13.0, 20.0]",ouro
36,Other,85473,68.0,1.0,26.51413612565445,Sports,806.55,"(60038.5, 92031.0]",2,"(54.932, 75.0]",3,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(736.37, 998.98]",4,12,"(11.0, 13.0]",prata
41,Other,81758,87.0,7.0,9.0,Unknown,482.2,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(232.75, 492.32]",2,12,"(11.0, 13.0]",prata
69,Female,36140,78.0,5.0,39.0,Sports,508.86,"(30003.999, 60038.5]",1,"(75.0, 100.0]",4,"(38.0, 50.0]",4,"(3.0, 5.46]",2,"(492.32, 736.37]",3,14,"(13.0, 20.0]",ouro
33,Other,141757,60.0,10.0,39.0,Groceries,492.3200423280423,"(115854.0, 1329680.0]",4,"(54.932, 75.0]",3,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(232.75, 492.32]",2,17,"(13.0, 20.0]",ouro
54,Male,35394,10.0,9.0,4.0,Groceries,124.29,"(30003.999, 60038.5]",1,"(0.999, 27.0]",1,"(0.999, 15.5]",1,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,8,"(5.999, 11.0]",bronze
30,Female,50680,19.0,7.0,27.0,Sports,515.88,"(30003.999, 60038.5]",1,"(0.999, 27.0]",1,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(492.32, 736.37]",3,11,"(5.999, 11.0]",bronze
18,Female,70721,78.0,7.0,1.0,Home & Garden,191.9,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
44,Male,104106,30.0,4.0,20.0,Electronics,950.56,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(3.0, 5.46]",2,"(736.37, 998.98]",4,13,"(11.0, 13.0]",prata
36,Other,76756,16.0,8.0,27.0,Clothing,970.06,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(736.37, 998.98]",4,13,"(11.0, 13.0]",prata
60,Female,45733,54.931650893796004,2.0,18.0,Electronics,197.29,"(30003.999, 60038.5]",1,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,7,"(5.999, 11.0]",bronze
29,Male,71951,2.0,6.0,47.0,Electronics,91.94,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
44,Other,86593,89.0,4.0,37.0,Groceries,76.95,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,12,"(11.0, 13.0]",prata
45,Other,98053,54.0,10.0,48.0,Sports,639.22,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(492.32, 736.37]",3,16,"(13.0, 20.0]",ouro
30,Female,73464,37.0,1.0,6.0,Clothing,532.51,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(0.999, 3.0]",1,"(492.32, 736.37]",3,9,"(5.999, 11.0]",bronze
47,Male,108074,78.0,4.0,38.0,Electronics,128.2,"(92031.0, 115854.0]",3,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,13,"(11.0, 13.0]",prata
48,Other,81794,89.0,7.0,50.0,Electronics,967.99,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(736.37, 998.98]",4,17,"(13.0, 20.0]",ouro
44,Female,75392,43.0,4.0,29.0,Sports,88.44,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,10,"(5.999, 11.0]",bronze
22,Male,107057,14.0,5.0,41.0,Home & Garden,98.86,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(38.0, 50.0]",4,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
23,Male,70723,31.0,1.0,48.0,Home & Garden,713.33,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(0.999, 3.0]",1,"(492.32, 736.37]",3,12,"(11.0, 13.0]",prata
52,Male,115529,70.0,2.0,34.0,Clothing,192.66,"(92031.0, 115854.0]",3,"(54.932, 75.0]",3,"(26.514, 38.0]",3,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
35,Male,72179,6.0,6.0,45.0,Home & Garden,165.18,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
28,Other,62405,79.0,5.0,50.0,Unknown,956.73,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(38.0, 50.0]",4,"(3.0, 5.46]",2,"(736.37, 998.98]",4,16,"(13.0, 20.0]",ouro
50,Unknown,42404,45.0,4.0,31.0,Home & Garden,753.6,"(30003.999, 60038.5]",1,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(3.0, 5.46]",2,"(736.37, 998.98]",4,12,"(11.0, 13.0]",prata
49,Other,94531,54.931650893796004,5.46,42.0,Clothing,214.93,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,12,"(11.0, 13.0]",prata
56,Male,98053,40.0,6.0,8.0,Electronics,355.34,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(232.75, 492.32]",2,11,"(5.999, 11.0]",bronze
48,Male,76317,94.0,9.0,3.0,Electronics,189.28,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(0.999, 15.5]",1,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,12,"(11.0, 13.0]",prata
19,Other,85309,65.0,5.0,10.0,Sports,28.55,"(60038.5, 92031.0]",2,"(54.932, 75.0]",3,"(0.999, 15.5]",1,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,9,"(5.999, 11.0]",bronze
68,Unknown,146519,96.0,2.0,18.0,Groceries,673.79,"(115854.0, 1329680.0]",4,"(75.0, 100.0]",4,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(492.32, 736.37]",3,14,"(13.0, 20.0]",ouro
61,Female,61290,83.0,9.0,35.0,Clothing,110.32,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,14,"(13.0, 20.0]",ouro
24,Female,96082,83.0,4.0,36.0,Sports,589.35,"(92031.0, 115854.0]",3,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(3.0, 5.46]",2,"(492.32, 736.37]",3,15,"(13.0, 20.0]",ouro
45,Other,134241,73.0,9.0,16.0,Groceries,893.44,"(115854.0, 1329680.0]",4,"(54.932, 75.0]",3,"(15.5, 26.514]",2,"(8.0, 10.0]",4,"(736.37, 998.98]",4,17,"(13.0, 20.0]",ouro
33,Female,45136,84.0,9.0,38.0,Home & Garden,332.34,"(30003.999, 60038.5]",1,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(8.0, 10.0]",4,"(232.75, 492.32]",2,14,"(13.0, 20.0]",ouro
56,Female,85476,55.0,2.0,41.0,Sports,774.5,"(60038.5, 92031.0]",2,"(54.932, 75.0]",3,"(38.0, 50.0]",4,"(0.999, 3.0]",1,"(736.37, 998.98]",4,14,"(13.0, 20.0]",ouro
42,Other,73466,50.0,4.0,13.0,Sports,903.07,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(3.0, 5.46]",2,"(736.37, 998.98]",4,11,"(5.999, 11.0]",bronze
63,Other,98053,7.0,9.0,20.0,Electronics,195.34,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(15.5, 26.514]",2,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
49,Female,112198,48.0,5.0,24.0,Sports,843.87,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(3.0, 5.46]",2,"(736.37, 998.98]",4,13,"(11.0, 13.0]",prata
43,Unknown,81595,12.0,7.0,1.0,Electronics,492.3200423280423,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(232.75, 492.32]",2,9,"(5.999, 11.0]",bronze
21,Female,139387,1.0,5.0,7.0,Clothing,399.58,"(115854.0, 1329680.0]",4,"(0.999, 27.0]",1,"(0.999, 15.5]",1,"(3.0, 5.46]",2,"(232.75, 492.32]",2,10,"(5.999, 11.0]",bronze
23,Male,69133,14.0,5.46,7.0,Groceries,224.86,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(0.999, 15.5]",1,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,7,"(5.999, 11.0]",bronze
30,Other,89149,87.0,10.0,36.0,Clothing,174.41,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,14,"(13.0, 20.0]",ouro
49,Female,79992,49.0,8.0,6.0,Sports,636.65,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(492.32, 736.37]",3,11,"(5.999, 11.0]",bronze
50,Female,85111,54.931650893796004,1.0,19.0,Electronics,319.05,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(232.75, 492.32]",2,9,"(5.999, 11.0]",bronze
27,Other,90557,36.0,2.0,2.0,Sports,494.55,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(0.999, 3.0]",1,"(492.32, 736.37]",3,9,"(5.999, 11.0]",bronze
44,Male,100270,69.0,3.0,29.0,Home & Garden,686.05,"(92031.0, 115854.0]",3,"(54.932, 75.0]",3,"(26.514, 38.0]",3,"(0.999, 3.0]",1,"(492.32, 736.37]",3,13,"(11.0, 13.0]",prata
36,Female,127346,75.0,5.0,7.0,Electronics,335.98,"(115854.0, 1329680.0]",4,"(54.932, 75.0]",3,"(0.999, 15.5]",1,"(3.0, 5.46]",2,"(232.75, 492.32]",2,12,"(11.0, 13.0]",prata
43,Female,87807,52.0,9.0,41.0,Clothing,95.08,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,13,"(11.0, 13.0]",prata
32,Male,135861,88.0,5.0,16.0,Electronics,103.33,"(115854.0, 1329680.0]",4,"(75.0, 100.0]",4,"(15.5, 26.514]",2,"(3.0, 5.46]",2,"(10.399000000000001, 232.75]",1,13,"(11.0, 13.0]",prata
49,Other,40936,32.0,9.0,49.0,Sports,495.62,"(30003.999, 60038.5]",1,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(492.32, 736.37]",3,14,"(13.0, 20.0]",ouro
23,Female,66376,60.0,1.0,18.0,Electronics,77.73,"(60038.5, 92031.0]",2,"(54.932, 75.0]",3,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,9,"(5.999, 11.0]",bronze
58,Other,56120,30.0,3.0,50.0,Groceries,880.23,"(30003.999, 60038.5]",1,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(0.999, 3.0]",1,"(736.37, 998.98]",4,12,"(11.0, 13.0]",prata
31,Female,112452,21.0,1.0,5.0,Groceries,552.21,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(0.999, 15.5]",1,"(0.999, 3.0]",1,"(492.32, 736.37]",3,9,"(5.999, 11.0]",bronze
38,Female,102944,63.0,8.0,9.0,Home & Garden,92.69,"(92031.0, 115854.0]",3,"(54.932, 75.0]",3,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
58,Other,143037,56.0,8.0,42.0,Groceries,57.57,"(115854.0, 1329680.0]",4,"(54.932, 75.0]",3,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,15,"(13.0, 20.0]",ouro
60,Female,131101,68.0,8.0,28.0,Unknown,522.95,"(115854.0, 1329680.0]",4,"(54.932, 75.0]",3,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(492.32, 736.37]",3,16,"(13.0, 20.0]",ouro
49,Male,30708,4.0,1.0,36.0,Unknown,990.0,"(30003.999, 60038.5]",1,"(0.999, 27.0]",1,"(26.514, 38.0]",3,"(0.999, 3.0]",1,"(736.37, 998.98]",4,10,"(5.999, 11.0]",bronze
32,Other,44048,54.931650893796004,7.0,10.0,Clothing,41.55,"(30003.999, 60038.5]",1,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,8,"(5.999, 11.0]",bronze
30,Other,95501,27.0,3.0,14.0,Groceries,476.25,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(0.999, 15.5]",1,"(0.999, 3.0]",1,"(232.75, 492.32]",2,8,"(5.999, 11.0]",bronze
68,Other,45092,54.0,4.0,40.0,Electronics,738.6,"(30003.999, 60038.5]",1,"(27.0, 54.932]",2,"(38.0, 50.0]",4,"(3.0, 5.46]",2,"(736.37, 998.98]",4,13,"(11.0, 13.0]",prata
65,Unknown,117157,90.0,9.0,39.0,Electronics,812.36,"(115854.0, 1329680.0]",4,"(75.0, 100.0]",4,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(736.37, 998.98]",4,20,"(13.0, 20.0]",ouro
36,Female,148542,60.0,1.0,17.0,Groceries,15.66,"(115854.0, 1329680.0]",4,"(54.932, 75.0]",3,"(15.5, 26.514]",2,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
36,Unknown,99427,54.931650893796004,8.0,15.0,Sports,265.04,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(232.75, 492.32]",2,11,"(5.999, 11.0]",bronze
56,Male,58971,77.0,9.0,35.0,Electronics,13.16,"(30003.999, 60038.5]",1,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,13,"(11.0, 13.0]",prata
44,Male,101100,43.0,3.0,14.0,Clothing,392.36,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(0.999, 3.0]",1,"(232.75, 492.32]",2,9,"(5.999, 11.0]",bronze
31,Other,61849,24.0,6.0,31.0,Home & Garden,120.8,"(60038.5, 92031.0]",2,"(0.999, 27.0]",1,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,10,"(5.999, 11.0]",bronze
59,Male,47990,3.0,10.0,48.0,Home & Garden,755.92,"(30003.999, 60038.5]",1,"(0.999, 27.0]",1,"(38.0, 50.0]",4,"(8.0, 10.0]",4,"(736.37, 998.98]",4,14,"(13.0, 20.0]",ouro
31,Male,55100,20.0,7.0,31.0,Sports,59.84,"(30003.999, 60038.5]",1,"(0.999, 27.0]",1,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,9,"(5.999, 11.0]",bronze
18,Other,105470,8.0,7.0,4.0,Clothing,492.3200423280423,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(232.75, 492.32]",2,10,"(5.999, 11.0]",bronze
45,Other,63381,80.0,4.0,8.0,Home & Garden,754.24,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(0.999, 15.5]",1,"(3.0, 5.46]",2,"(736.37, 998.98]",4,13,"(11.0, 13.0]",prata
32,Other,92089,16.0,1.0,47.0,Home & Garden,209.86,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(38.0, 50.0]",4,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,10,"(5.999, 11.0]",bronze
39,Unknown,104031,67.0,6.0,28.0,Home & Garden,930.36,"(92031.0, 115854.0]",3,"(54.932, 75.0]",3,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(736.37, 998.98]",4,16,"(13.0, 20.0]",ouro
65,Male,62792,83.0,8.0,11.0,Electronics,230.58,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(0.999, 15.5]",1,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
46,Other,113116,7.0,10.0,13.0,Clothing,190.55,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(0.999, 15.5]",1,"(8.0, 10.0]",4,"(10.399000000000001, 232.75]",1,10,"(5.999, 11.0]",bronze
30,Other,75926,97.0,10.0,26.51413612565445,Sports,670.87,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(15.5, 26.514]",2,"(8.0, 10.0]",4,"(492.32, 736.37]",3,15,"(13.0, 20.0]",ouro
23,Male,108480,46.0,10.0,21.0,Clothing,377.31,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(8.0, 10.0]",4,"(232.75, 492.32]",2,13,"(11.0, 13.0]",prata
63,Other,102834,31.0,7.0,20.0,Electronics,582.57,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(5.46, 8.0]",3,"(492.32, 736.37]",3,13,"(11.0, 13.0]",prata
49,Male,46695,99.0,9.0,26.0,Clothing,674.7,"(30003.999, 60038.5]",1,"(75.0, 100.0]",4,"(15.5, 26.514]",2,"(8.0, 10.0]",4,"(492.32, 736.37]",3,14,"(13.0, 20.0]",ouro
21,Other,105024,45.0,3.0,32.0,Sports,795.84,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(0.999, 3.0]",1,"(736.37, 998.98]",4,13,"(11.0, 13.0]",prata
26,Female,59496,58.0,2.0,50.0,Clothing,23.33,"(30003.999, 60038.5]",1,"(54.932, 75.0]",3,"(38.0, 50.0]",4,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,10,"(5.999, 11.0]",bronze
40,Female,115569,1.0,2.0,5.0,Groceries,241.91,"(92031.0, 115854.0]",3,"(0.999, 27.0]",1,"(0.999, 15.5]",1,"(0.999, 3.0]",1,"(232.75, 492.32]",2,8,"(5.999, 11.0]",bronze
18,Male,49346,70.0,7.0,38.0,Groceries,127.14,"(30003.999, 60038.5]",1,"(54.932, 75.0]",3,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,11,"(5.999, 11.0]",bronze
19,Male,75430,50.0,7.0,32.0,Clothing,532.51,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(492.32, 736.37]",3,13,"(11.0, 13.0]",prata
60,Female,142407,54.931650893796004,2.0,1.0,Sports,29.58,"(115854.0, 1329680.0]",4,"(27.0, 54.932]",2,"(0.999, 15.5]",1,"(0.999, 3.0]",1,"(10.399000000000001, 232.75]",1,9,"(5.999, 11.0]",bronze
20,Other,34982,7.0,2.0,45.0,Clothing,597.15,"(30003.999, 60038.5]",1,"(0.999, 27.0]",1,"(38.0, 50.0]",4,"(0.999, 3.0]",1,"(492.32, 736.37]",3,10,"(5.999, 11.0]",bronze
55,Female,147187,37.0,7.0,27.0,Electronics,941.67,"(115854.0, 1329680.0]",4,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(736.37, 998.98]",4,16,"(13.0, 20.0]",ouro
19,Other,37993,59.0,6.0,30.0,Sports,873.8,"(30003.999, 60038.5]",1,"(54.932, 75.0]",3,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(736.37, 998.98]",4,14,"(13.0, 20.0]",ouro
65,Male,81753,72.0,9.0,21.0,Home & Garden,633.63,"(60038.5, 92031.0]",2,"(54.932, 75.0]",3,"(15.5, 26.514]",2,"(8.0, 10.0]",4,"(492.32, 736.37]",3,14,"(13.0, 20.0]",ouro
57,Female,81695,90.0,8.0,44.0,Electronics,179.8,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(38.0, 50.0]",4,"(5.46, 8.0]",3,"(10.399000000000001, 232.75]",1,14,"(13.0, 20.0]",ouro
56,Female,40676,86.0,7.0,38.0,Home & Garden,627.65,"(30003.999, 60038.5]",1,"(75.0, 100.0]",4,"(26.514, 38.0]",3,"(5.46, 8.0]",3,"(492.32, 736.37]",3,14,"(13.0, 20.0]",ouro
37,Male,111242,33.0,5.0,34.0,Sports,756.32,"(92031.0, 115854.0]",3,"(27.0, 54.932]",2,"(26.514, 38.0]",3,"(3.0, 5.46]",2,"(736.37, 998.98]",4,14,"(13.0, 20.0]",ouro
64,Unknown,87006,85.0,5.46,20.0,Clothing,492.3200423280423,"(60038.5, 92031.0]",2,"(75.0, 100.0]",4,"(15.5, 26.514]",2,"(3.0, 5.46]",2,"(232.75, 492.32]",2,12,"(11.0, 13.0]",prata
58,Male,82856,33.0,7.0,26.51413612565445,Groceries,450.72,"(60038.5, 92031.0]",2,"(27.0, 54.932]",2,"(15.5, 26.514]",2,"(5.46, 8.0]",3,"(232.75, 492.32]",2,11,"(5.999, 11.0]",bronze
